term,estimate,std.error,statistic,p.value
(Intercept),0.24734662111435918,0.05442359567277013,4.544841590430134,1.1003917843774984e-5
system_typePresidential,-0.14779414912449274,0.06413985496250164,-2.3042482589163673,0.022536548850549756
system_typeSemi-Presidential,-0.28343834631667475,0.15035829491809427,-1.8850861967480683,0.061289820821139485
log_gdp,-0.020463061505,0.005359719961728394,-3.817934827027998,1.941536503828876e-4
system_typePresidential:log_gdp,0.014902019471888916,0.006537152930725629,2.2795886267012544,0.023996322398968324
system_typeSemi-Presidential:log_gdp,0.028346615629567314,0.015875909779785747,1.7855112571665084,0.07613380578265845
