rep,crossover_log,crossover_gdp
148,9.943622017868112,20819.0147313701
149,9.223132951829669,10128.747549397183
150,9.28043939997888,10726.143948562558
151,10.000206235269593,22031.00889737597
152,9.258275286866061,10491.023721589649
153,9.215426139480162,10050.987219713568
154,10.08002911199997,23861.680193220618
155,10.315439752188022,30195.245348839362
156,8.717874443760664,6111.175625732219
157,10.800943500342255,49067.074104879655
158,9.468775263706132,12949.018382896336
159,9.945651319886824,20861.305696048992
160,9.917397208137615,20280.13689923307
161,9.90854922123333,20101.490011666363
162,10.266549279881144,28754.492068496857
163,8.615035499570151,5513.944352917856
164,9.845283020734247,18869.139214986684
165,7.340853805332816,1542.0281436219386
166,10.054662433663841,23264.001240683003
167,8.733683528093495,6208.555431204372
168,9.966403538617605,21298.747318235288
169,11.405054120502694,89774.30886160042
170,10.796963953251293,48872.19739057946
171,8.854766726613626,7007.713336596936
172,9.616809524406039,15015.06822814396
173,9.704901213396864,16397.77958351307
174,10.314655433583333,30171.571941099755
175,9.625969884926544,15153.24356810318
176,9.244127155560067,10343.64039821181
177,10.37760230136723,32131.826618558323
178,9.254076980297507,10447.071514765383
179,8.243299225163799,3802.0635019731517
180,8.909353877150822,7400.877676937672
181,10.212933698077045,27253.403682661214
182,9.583627260905518,14525.009865171365
183,9.882758973211985,19589.69561830058
184,10.309071537798559,30003.56652661306
185,9.95405201186335,21037.293273166943
186,9.535605280871323,13843.973365776745
187,9.76823489511729,17469.903775316117
188,10.546446548751156,38042.01739426604
189,8.6318750009017,5607.582624358598
190,10.19702890973876,26823.372904932745
191,9.213100045360738,10027.634847884203
192,9.798017834579008,17998.034465935092
193,9.821848844415628,18432.097338174648
194,9.482827832021567,13132.26991002367
195,10.172476316365064,26172.80873712094
196,10.093549523869834,24186.490775793576
197,9.194166250693561,9839.559774616831
198,9.775637466347375,17599.70582411045
199,9.615321562993865,14992.74299967762
200,10.5466656258077,38050.35244043711
201,9.483822115144969,13145.333597793082
202,9.38013348693269,11850.596548392654
203,10.433570243160338,33981.45600400457
204,9.122491636023643,9158.99408897249
205,10.063052774533412,23460.015303571683
206,9.65829420958559,15651.064449308706
207,9.062070547581396,8621.984413803239
208,9.325017111295944,11215.108386115178
209,9.655503059451279,15607.440886945735
210,9.7420394882387,17018.214459280556
211,9.69396990359222,16219.506528974825
212,10.742117483019177,46263.91132037646
213,9.699254775340082,16305.451444686749
214,8.19034670368852,3605.9722336373825
215,9.686487300719849,16098.595332211138
216,10.440124436391196,34204.90850845488
217,9.527952331809548,13738.430514942229
218,9.232287398512023,10221.896341102376
219,9.488397179339712,13205.61212679231
220,8.614272466285442,5509.73863460213
221,9.423510715529842,12375.954496959059
222,9.918726443465452,20307.111897741634
223,9.680510432983167,16002.66312978853
224,8.9477373244604,7690.471118908548
225,10.196523965338137,26809.83201196533
226,9.63659087110763,15315.043676003439
227,9.729509655221669,16806.30941363555
228,9.23852855819443,10285.892325271097
229,9.971414638041944,21405.74532357913
230,9.923065940233867,20395.42602504413
231,10.380458870691408,32223.744631390462
232,9.634915015343138,15289.399365859863
233,9.486378649006083,13178.983082948207
234,9.843238164827719,18830.593967381647
235,9.825424944222963,18498.13035787712
236,9.723820866938228,16710.973308123313
237,9.80476117643784,18119.81149573707
238,9.596405140332811,14711.799536369554
239,9.941336202779945,20771.480661120797
240,9.196304977848941,9860.626428185642
241,9.916689678391228,20265.793174020557
242,8.503852865871611,4933.741311153658
243,10.559834294435065,38554.738681572984
244,9.585834194436273,14557.10099494741
245,10.005440858454765,22146.63529362441
246,8.829302439200315,6831.5197527763985
247,9.618562633292415,15041.414364759714
248,10.320819511785388,30358.12624699829
249,9.797163009988823,17982.65587743288
250,9.53055091867423,13774.177445656458
251,10.402756009056924,32950.31200918785
252,9.35404245611661,11545.401014781364
253,8.734866491665981,6215.904271965707
254,9.58092713560334,14485.843419471363
255,10.006576338362095,22171.79663541089
256,10.230936377997281,27748.480973906964
257,9.659854058259313,15675.496791856966
258,9.79723462958904,17983.94383417858
259,9.441730612423443,12603.509834252734
260,9.507845075490787,13464.94708595407
261,8.827078242710789,6816.341995937972
262,9.65742402277671,15637.45102345082
263,9.340905558931565,11394.722161971282
264,9.56323566161001,14231.821137110026
265,9.440197654526829,12584.203985634465
266,8.745792945463945,6284.194468228715
267,9.678013312392155,15962.752401865326
268,9.800887213639053,18049.751812004673
269,9.910375730867925,20138.23912793318
270,9.273960184954202,10656.871613051557
271,9.826262709857845,18513.63394908172
272,10.339654868073424,30935.35142694746
273,8.756346153390258,6350.864049327946
274,7.570365912318316,1939.84996670807
275,9.296883779903817,10903.986986383066
276,8.67183639383668,5836.207089430382
277,10.710739237766346,44834.77019342511
278,9.130792924512804,9235.341995739178
279,9.68242056863956,16033.25959963109
280,9.785408835433563,17772.521995791445
281,9.55450870557005,14108.161032651664
282,10.247187449835865,28203.107611267627
283,10.125798069597582,24979.182815598775
284,9.846709805514557,18896.080630866833
285,9.700025921895364,16318.030186804117
286,10.735766109500537,45971.00310853531
287,10.173076517280451,26188.522396087752
288,9.725999675318095,16747.42301084213
289,8.495263868786095,4891.546884707335
290,9.514249883629633,13551.464255820558
291,9.469390906335475,12956.992805066244
292,8.916557399680785,7454.382546424339
293,10.24070853491741,28020.972731924165
294,9.241029045067632,10311.644246762757
295,10.375869514986164,32076.197237830736
296,8.164411948547947,3513.6545198044982
297,9.881765370481476,19570.240909970613
298,10.023070456976098,22540.533514191695
299,9.771955910746803,17535.030654232003
300,9.865123164010535,19247.24406496733
301,9.139698215542122,9317.952694175092
302,9.617487913265869,15025.257738994072
303,11.089473714992668,65478.27681875156
304,9.22758706985252,10173.96280870382
305,10.54337971756827,37925.52766752783
306,9.309789441797793,11045.622137567872
307,8.652144366621291,5722.404519708481
308,9.958162188209783,21123.938199356042
309,9.072390823148131,8711.426408043113
310,9.946263397213826,20874.078336800347
311,9.236362048858817,10263.631965868592
312,9.8196078635897,18390.83760985537
313,9.632229321147667,15248.391806261932
314,9.027403793196962,8328.209725849907
315,8.990651651781254,8027.686447415856
316,10.108365576908257,24547.506919077445
317,9.623639532934387,15117.97228997508
318,9.676370859791216,15936.55585684559
319,9.779635936695389,17670.218603665908
320,9.792759968674565,17903.651557942336
321,9.06366295766158,8635.72508618397
322,9.999168943605081,22008.16816378523
323,10.469248587061188,35215.74585743181
