statistic,log_gdp,gdp_ppp
Point Estimate,9.555697698822241,14124.94551726242
2.5%,7.275420991708251,1444.424121317675
50% (Median),9.582812591642188,14513.206734180583
97.5%,10.664772914727193,42820.528979136456
