specification,coef,se,p_value,n
High-Income Subsample,0.041912826385914814,0.016953407881634543,0.016053490272818233,73
Low-Income Subsample,-0.005090019841452902,0.02111595111542068,0.8102517838692984,75
Democracies Only,0.024524810655231002,0.012592057877535475,0.057856206529780976,52
