term,estimate,std.error,statistic,p.value
(Intercept),0.32599357246507565,0.06844792449623253,4.76265094762689,4.746065202044207e-6
system_typePresidential,-0.19232860784453862,0.07438661904619949,-2.5855269443700433,0.010752181943653322
system_typeSemi-Presidential,-0.2694947532225592,0.15371072217415888,-1.7532593003968426,0.08176195423565488
log_gdp,-0.02887092611626914,0.007048346405791806,-4.096127581434585,7.09982698089594e-5
mean_democracy,0.027872809217160524,0.01767420835643744,1.5770329654967812,0.11706111758557151
ethnic_frac,-0.022769391440513733,0.015380576763142792,-1.4803990637774462,0.1410298469979374
system_typePresidential:log_gdp,0.0198921283128265,0.007626887236692603,2.6081581771822178,0.010098012724569248
system_typeSemi-Presidential:log_gdp,0.026977618312968528,0.0161664945499662,1.6687364245593321,0.09742057351867145
