iso3c,country,gdp_pc_mean,log_gdp_mean
SVK,Slovak Republic,29873.53029667046,10.304728092933164
SVN,Slovenia,38788.188304949384,10.565871054134458
SWE,Sweden,56711.75687293222,10.945736820477636
SWZ,Eswatini,8393.341027699182,9.0351939356533
SXM,Sint Maarten (Dutch part),48253.18483234801,10.784217111476815
SYC,Seychelles,24959.338811224396,10.12500333219758
SYR,Syrian Arab Republic,6986.658927930309,8.851757742122693
TCA,Turks and Caicos Islands,21995.682007907442,9.998601440708667
TCD,Chad,2461.1278889857367,7.808375015308933
TEA,East Asia & Pacific (IDA & IBRD countries),11431.747794251842,9.344149657981799
TEC,Europe & Central Asia (IDA & IBRD countries),23688.327135353262,10.072737679858022
TGO,Togo,2282.0059504580386,7.732810137981303
THA,Thailand,17110.52863353804,9.747449262583014
TJK,Tajikistan,2727.2643761881845,7.9110543257769015
TKM,Turkmenistan,10553.75415528844,9.264236919709885
TLA,Latin America & the Caribbean (IDA & IBRD countries),17248.967043208515,9.755507539113404
TLS,Timor-Leste,4236.294922403092,8.351444327150215
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",8787.984267897835,9.081140643322861
TON,Tonga,6183.71679350631,8.729674792566927
TSA,South Asia (IDA & IBRD),5599.0761491463645,8.630356889746917
TSS,Sub-Saharan Africa (IDA & IBRD countries),4497.461545601049,8.41126841561605
TTO,Trinidad and Tobago,31872.70928206652,10.369505414217608
TUN,Tunisia,11766.375085782782,9.373001173701153
TUR,Turkiye,22976.520789900816,10.04222813828243
TUV,Tuvalu,4168.9225939858325,8.335412910662573
TZA,Tanzania,2785.154088338219,7.9320584787799415
UGA,Uganda,2235.3489715104797,7.7121526342374755
UKR,Ukraine,15925.20438639323,9.675658314668413
URY,Uruguay,24748.521435052815,10.116521026214466
USA,United States,62717.610935910016,11.046397563353498
UZB,Uzbekistan,6350.896152313271,8.756351208277898
VCT,St. Vincent and the Grenadines,13884.055006206701,9.53849633881528
VIR,Virgin Islands (U.S.),50983.11420579909,10.839249762878802
VNM,Viet Nam,8265.153919331515,9.019803633110335
VUT,Vanuatu,3272.329030463326,8.093257252099434
WLD,World,16649.692020313934,9.720146997959072
WSM,Samoa,6202.563569550179,8.73271796453402
XKX,Kosovo,10129.293207516166,9.223186822598878
ZAF,South Africa,13602.886663207779,9.518037303848944
ZMB,Zambia,3126.2338875913865,8.047584328269355
ZWE,Zimbabwe,4724.298245585049,8.460474309444837
