level,Parliamentary,Presidential,difference,pct_change
"Low ($5,000)",0.075682671660949,0.057883056630930144,-0.017799615030018853,-23.5
"Crossover ($14,159)",0.04814834791845863,0.04814834791845863,0,0
"High ($40,000)",0.020677668880024782,0.03843614067218895,0.01775847179216417,85.9
