level,Parliamentary,Presidential,difference,pct_change
"Low ($5,000)",0.07594025954438695,0.058211636301623446,-0.017728623242763503,-23.3
"Crossover ($14,125)",0.04837841959330846,0.04837841959330844,-1.3877787807814457e-17,-0
"High ($40,000)",0.0207520205423612,0.038522170183960786,0.017770149641599585,85.6
