specification,coef,se,p_value,n,coef_stars
Main Model,0.017071301199304757,0.007902472876942016,0.03245577934349059,148,0.0171*
Alt. DV (Total Decline),0.04750538955056305,0.02538492126935557,0.06337618713685073,148,0.0475
High-Income Subsample,0.041912826385914814,0.016953407881634543,0.016053490272818233,73,0.0419*
Low-Income Subsample,-0.005090019841452902,0.02111595111542068,0.8102517838692984,75,-0.0051
Democracies Only,0.024524810655231002,0.012592057877535475,0.057856206529780976,52,0.0245
Regional FE,0.012037263091240568,0.0071846193625593625,0.09616636341810415,148,0.012
Excluding 11 outliers,0.023873841913828804,0.0064655386464705315,3.266241725723824e-4,137,0.0239***
